Date,Open,High,Low,Close,Adj Close,Volume
31-Jul-20,411.54,425.66,403.3,425.04,424.28,"93,584,200"
30-Jul-20,376.75,385.19,375.07,384.76,384.07,"39,532,500"
29-Jul-20,375,380.92,374.85,380.16,379.48,"22,582,300"
28-Jul-20,377.47,378.2,372.99,373.01,372.34,"25,906,400"
27-Jul-20,374.84,379.62,373.92,379.24,378.56,"30,303,500"
24-Jul-20,363.95,371.88,356.58,370.46,369.79,"46,359,700"
23-Jul-20,387.99,388.31,368.04,371.38,370.71,"49,251,100"
22-Jul-20,386.77,391.9,386.41,389.09,388.39,"22,250,400"
21-Jul-20,396.69,397,386.97,388,387.3,"25,911,500"
20-Jul-20,385.67,394,384.25,393.43,392.72,"22,579,500"
17-Jul-20,387.95,388.59,383.36,385.31,384.62,"23,046,700"
16-Jul-20,386.25,389.62,383.62,386.09,385.4,"27,644,400"
15-Jul-20,395.96,396.99,385.96,390.9,390.2,"38,299,500"
14-Jul-20,379.36,389.02,375.51,388.23,387.53,"42,747,300"
13-Jul-20,389.06,399.82,381.03,381.91,381.22,"47,912,300"
10-Jul-20,381.34,383.92,378.82,383.68,382.99,"22,564,300"
9-Jul-20,385.05,385.27,378.69,383.01,382.32,"31,410,700"
8-Jul-20,376.72,381.5,376.36,381.37,380.68,"29,273,000"
7-Jul-20,375.41,378.62,372.23,372.69,372.02,"28,106,100"
6-Jul-20,370,375.78,369.87,373.85,373.18,"29,663,900"
2-Jul-20,367.85,370.47,363.64,364.11,363.45,"28,510,400"
1-Jul-20,365.12,367.36,363.91,364.11,363.45,"27,684,300"
30-Jun-20,360.08,365.98,360,364.8,364.14,"35,055,800"
29-Jun-20,353.25,362.17,351.28,361.78,361.13,"32,661,500"
26-Jun-20,364.41,365.32,353.02,353.63,352.99,"51,314,200"
25-Jun-20,360.7,365,357.57,364.84,364.18,"34,380,600"
24-Jun-20,365,368.79,358.52,360.06,359.41,"48,155,800"
23-Jun-20,364,372.38,362.27,366.53,365.87,"53,038,900"
22-Jun-20,351.34,359.46,351.15,358.87,358.22,"33,861,300"
19-Jun-20,354.64,356.56,345.15,349.72,349.09,"66,119,000"
18-Jun-20,351.41,353.45,349.22,351.73,351.1,"24,205,100"
17-Jun-20,355.15,355.4,351.09,351.59,350.96,"28,532,000"
16-Jun-20,351.46,353.2,344.72,352.08,351.45,"41,357,200"
15-Jun-20,333.25,345.68,332.58,342.99,342.37,"34,702,200"
12-Jun-20,344.72,347.8,334.22,338.8,338.19,"50,001,500"
11-Jun-20,349.31,351.06,335.48,335.9,335.3,"50,415,600"
10-Jun-20,347.9,354.77,346.09,352.84,352.2,"41,662,900"
9-Jun-20,332.14,345.61,332.01,343.99,343.37,"36,928,100"
8-Jun-20,330.25,333.6,327.32,333.46,332.86,"23,913,600"
5-Jun-20,323.35,331.75,323.23,331.5,330.9,"34,312,600"
4-Jun-20,324.39,325.62,320.78,322.32,321.74,"21,890,100"
3-Jun-20,324.66,326.2,322.3,325.12,324.53,"26,122,800"
2-Jun-20,320.75,323.44,318.93,323.34,322.76,"21,910,700"
1-Jun-20,317.75,322.35,317.21,321.85,321.27,"20,197,800"
29-May-20,319.25,321.15,316.47,317.94,317.37,"38,399,500"
28-May-20,316.77,323.44,315.63,318.25,317.68,"33,390,200"
27-May-20,316.14,318.71,313.09,318.11,317.54,"28,236,300"
26-May-20,323.5,324.24,316.5,316.73,316.16,"31,380,500"
22-May-20,315.77,319.23,315.35,318.89,318.32,"20,450,800"
21-May-20,318.66,320.89,315.87,316.85,316.28,"25,672,200"
20-May-20,316.68,319.52,316.52,319.23,318.66,"27,876,200"
19-May-20,315.03,318.52,313.01,313.14,312.58,"25,432,400"
18-May-20,313.17,316.5,310.32,314.96,314.39,"33,843,100"
15-May-20,300.35,307.9,300.21,307.71,307.16,"41,587,100"
