Date,Open,High,Low,Close,Adj Close,Volume
31-Jul-20,"3,244.00","3,246.82","3,151.00","3,164.68","3,164.68","8,085,500"
30-Jul-20,"3,014.00","3,092.00","3,005.00","3,051.88","3,051.88","6,128,300"
29-Jul-20,"3,030.99","3,039.16","2,996.77","3,033.53","3,033.53","2,974,100"
28-Jul-20,"3,054.27","3,077.09","2,995.76","3,000.33","3,000.33","3,126,700"
27-Jul-20,"3,062.00","3,098.00","3,015.77","3,055.21","3,055.21","4,170,500"
24-Jul-20,"2,930.00","3,031.58","2,888.00","3,008.91","3,008.91","5,632,400"
23-Jul-20,"3,098.27","3,098.27","2,970.00","2,986.55","2,986.55","5,656,900"
22-Jul-20,"3,125.00","3,150.00","3,065.26","3,099.91","3,099.91","4,104,200"
21-Jul-20,"3,232.49","3,240.58","3,105.72","3,138.29","3,138.29","6,135,000"
20-Jul-20,"3,000.20","3,201.36","2,994.02","3,196.84","3,196.84","7,598,200"
17-Jul-20,"3,009.00","3,024.00","2,948.45","2,961.97","2,961.97","4,761,300"
16-Jul-20,"2,971.06","3,032.00","2,918.23","2,999.90","2,999.90","6,394,200"
15-Jul-20,"3,080.23","3,098.35","2,973.18","3,008.87","3,008.87","5,788,900"
14-Jul-20,"3,089.00","3,127.38","2,950.00","3,084.00","3,084.00","7,231,900"
13-Jul-20,"3,251.06","3,344.29","3,068.39","3,104.00","3,104.00","7,720,400"
10-Jul-20,"3,191.76","3,215.00","3,135.70","3,200.00","3,200.00","5,486,000"
9-Jul-20,"3,115.99","3,193.88","3,074.00","3,182.63","3,182.63","6,388,700"
8-Jul-20,"3,022.61","3,083.97","3,012.43","3,081.11","3,081.11","5,037,600"
7-Jul-20,"3,058.55","3,069.55","2,990.00","3,000.12","3,000.12","5,257,500"
6-Jul-20,"2,934.97","3,059.88","2,930.00","3,057.04","3,057.04","6,880,600"
2-Jul-20,"2,912.01","2,955.56","2,871.10","2,890.30","2,890.30","6,593,400"
1-Jul-20,"2,757.99","2,895.00","2,754.00","2,878.70","2,878.70","6,363,400"
30-Jun-20,"2,685.07","2,769.63","2,675.03","2,758.82","2,758.82","3,769,700"
29-Jun-20,"2,690.01","2,696.80","2,630.08","2,680.38","2,680.38","4,223,400"
26-Jun-20,"2,775.06","2,782.57","2,688.00","2,692.87","2,692.87","6,500,800"
25-Jun-20,"2,739.55","2,756.23","2,712.14","2,754.58","2,754.58","2,968,700"
24-Jun-20,"2,780.00","2,796.00","2,721.00","2,734.40","2,734.40","4,526,600"
23-Jun-20,"2,726.02","2,783.11","2,718.04","2,764.41","2,764.41","4,231,700"
22-Jun-20,"2,684.50","2,715.00","2,669.00","2,713.82","2,713.82","3,208,800"
19-Jun-20,"2,678.08","2,697.43","2,659.00","2,675.01","2,675.01","5,777,000"
18-Jun-20,"2,647.01","2,659.64","2,636.11","2,653.98","2,653.98","2,487,800"
17-Jun-20,"2,647.50","2,655.00","2,631.82","2,640.98","2,640.98","2,951,100"
16-Jun-20,"2,620.00","2,620.00","2,576.00","2,615.27","2,615.27","3,585,600"
15-Jun-20,"2,526.60","2,584.00","2,508.00","2,572.68","2,572.68","3,865,100"
12-Jun-20,"2,601.21","2,621.48","2,503.35","2,545.02","2,545.02","5,429,600"
11-Jun-20,"2,603.50","2,671.38","2,536.23","2,557.96","2,557.96","5,800,100"
