Date,Open,High,Low,Close,Adj Close,Volume
31-Jul-20,"1,505.01","1,508.95","1,454.03","1,482.96","1,482.96","3,439,900"
30-Jul-20,"1,497.00","1,537.87","1,492.22","1,531.45","1,531.45","1,671,400"
29-Jul-20,"1,506.32","1,531.25","1,501.33","1,522.02","1,522.02","1,106,500"
28-Jul-20,"1,525.18","1,526.48","1,497.66","1,500.34","1,500.34","1,702,200"
27-Jul-20,"1,515.60","1,540.97","1,515.21","1,530.20","1,530.20","1,246,000"
24-Jul-20,"1,498.93","1,517.64","1,488.40","1,511.87","1,511.87","1,544,000"
23-Jul-20,"1,566.97","1,571.87","1,507.39","1,515.68","1,515.68","1,627,600"
22-Jul-20,"1,560.50","1,570.00","1,546.10","1,568.49","1,568.49","932,000"
21-Jul-20,"1,586.99","1,586.99","1,554.28","1,558.42","1,558.42","1,218,600"
20-Jul-20,"1,515.26","1,570.29","1,503.60","1,565.72","1,565.72","1,557,300"
17-Jul-20,"1,521.62","1,523.44","1,498.42","1,515.55","1,515.55","1,456,700"
16-Jul-20,"1,500.00","1,518.69","1,486.31","1,518.00","1,518.00","1,519,300"
15-Jul-20,"1,523.13","1,535.33","1,498.00","1,513.64","1,513.64","1,610,700"
14-Jul-20,"1,490.31","1,522.95","1,483.50","1,520.58","1,520.58","1,585,000"
13-Jul-20,"1,550.00","1,577.13","1,505.24","1,511.34","1,511.34","1,846,400"
10-Jul-20,"1,506.15","1,543.83","1,496.54","1,541.74","1,541.74","1,856,300"
9-Jul-20,"1,506.45","1,522.72","1,488.08","1,510.99","1,510.99","1,423,300"
8-Jul-20,"1,494.32","1,505.88","1,485.63","1,496.00","1,496.00","1,249,700"
7-Jul-20,"1,490.00","1,516.80","1,483.55","1,485.18","1,485.18","1,458,200"
6-Jul-20,"1,480.06","1,506.59","1,472.86","1,495.70","1,495.70","1,564,000"
2-Jul-20,"1,446.94","1,482.95","1,446.42","1,464.70","1,464.70","1,859,100"
1-Jul-20,"1,411.10","1,443.00","1,409.82","1,438.04","1,438.04","1,775,200"
30-Jun-20,"1,390.44","1,418.65","1,383.96","1,413.61","1,413.61","2,042,400"
29-Jun-20,"1,358.18","1,395.60","1,347.01","1,394.97","1,394.97","1,810,200"
26-Jun-20,"1,431.39","1,433.45","1,351.99","1,359.90","1,359.90","4,267,700"
25-Jun-20,"1,429.90","1,442.90","1,420.00","1,441.33","1,441.33","1,230,500"
24-Jun-20,"1,461.51","1,475.42","1,429.75","1,431.97","1,431.97","1,756,000"
23-Jun-20,"1,455.64","1,475.94","1,445.24","1,464.41","1,464.41","1,429,800"
22-Jun-20,"1,429.00","1,452.75","1,423.21","1,451.86","1,451.86","1,542,400"
19-Jun-20,"1,444.00","1,447.80","1,421.35","1,431.72","1,431.72","3,157,900"
18-Jun-20,"1,449.16","1,451.41","1,427.01","1,435.96","1,435.96","1,581,900"
17-Jun-20,"1,447.16","1,460.00","1,431.38","1,451.12","1,451.12","1,548,300"
16-Jun-20,"1,445.22","1,455.02","1,425.90","1,442.72","1,442.72","1,709,200"
15-Jun-20,"1,390.80","1,424.80","1,387.92","1,419.85","1,419.85","1,503,900"
12-Jun-20,"1,428.49","1,437.00","1,386.02","1,413.18","1,413.18","1,944,200"
11-Jun-20,"1,442.48","1,454.47","1,402.00","1,403.84","1,403.84","1,991,300"
10-Jun-20,"1,459.54","1,474.26","1,456.27","1,465.85","1,465.85","1,525,200"
9-Jun-20,"1,445.36","1,468.00","1,443.21","1,456.16","1,456.16","1,409,200"
8-Jun-20,"1,422.34","1,447.99","1,422.34","1,446.61","1,446.61","1,404,200"
5-Jun-20,"1,413.17","1,445.05","1,406.00","1,438.39","1,438.39","1,734,900"
4-Jun-20,"1,430.40","1,438.96","1,404.73","1,412.18","1,412.18","1,484,300"
3-Jun-20,"1,438.30","1,446.55","1,429.78","1,436.38","1,436.38","1,256,200"
2-Jun-20,"1,430.55","1,439.61","1,418.83","1,439.22","1,439.22","1,278,100"
1-Jun-20,"1,418.39","1,437.96","1,418.00","1,431.82","1,431.82","1,217,100"
29-May-20,"1,416.94","1,432.57","1,413.35","1,428.92","1,428.92","1,838,100"
28-May-20,"1,396.86","1,440.84","1,396.00","1,416.73","1,416.73","1,692,200"
27-May-20,"1,417.25","1,421.74","1,391.29","1,417.84","1,417.84","1,685,800"
26-May-20,"1,437.27","1,441.00","1,412.13","1,417.02","1,417.02","2,060,600"
22-May-20,"1,396.71","1,412.76","1,391.83","1,410.42","1,410.42","1,309,400"
21-May-20,"1,408.00","1,415.49","1,393.45","1,402.80","1,402.80","1,385,000"
20-May-20,"1,389.58","1,410.42","1,387.25","1,406.72","1,406.72","1,655,400"
19-May-20,"1,387.00","1,392.00","1,373.48","1,373.48","1,373.48","1,280,600"
18-May-20,"1,361.75","1,392.32","1,354.25","1,383.94","1,383.94","1,824,000"
15-May-20,"1,350.00","1,374.48","1,339.00","1,373.19","1,373.19","1,707,700"
14-May-20,"1,335.02","1,357.42","1,323.91","1,356.13","1,356.13","1,603,100"
13-May-20,"1,377.05","1,385.48","1,328.40","1,349.33","1,349.33","1,812,600"
12-May-20,"1,407.12","1,415.00","1,374.77","1,375.74","1,375.74","1,390,600"
11-May-20,"1,378.28","1,416.53","1,377.15","1,403.26","1,403.26","1,410,600"
8-May-20,"1,383.13","1,398.76","1,375.48","1,388.37","1,388.37","1,388,100"
7-May-20,"1,365.94","1,377.60","1,355.27","1,372.56","1,372.56","1,397,600"
6-May-20,"1,361.69","1,371.12","1,347.29","1,347.30","1,347.30","1,215,400"
5-May-20,"1,337.92","1,373.94","1,337.46","1,351.11","1,351.11","1,651,500"
4-May-20,"1,308.23","1,327.66","1,299.00","1,326.80","1,326.80","1,504,000"
1-May-20,"1,328.50","1,352.07","1,311.00","1,320.61","1,320.61","2,072,500"
30-Apr-20,"1,324.88","1,352.82","1,322.49","1,348.66","1,348.66","2,665,400"
29-Apr-20,"1,341.46","1,359.99","1,325.34","1,341.48","1,341.48","3,793,600"
28-Apr-20,"1,287.93","1,288.05","1,232.20","1,233.67","1,233.67","2,951,300"
27-Apr-20,"1,296.00","1,296.15","1,269.00","1,275.88","1,275.88","1,600,600"
24-Apr-20,"1,261.17","1,280.40","1,249.45","1,279.31","1,279.31","1,640,400"
23-Apr-20,"1,271.55","1,293.31","1,265.67","1,276.31","1,276.31","1,566,200"
22-Apr-20,"1,245.54","1,285.61","1,242.00","1,263.21","1,263.21","2,093,100"
21-Apr-20,"1,247.00","1,254.27","1,209.71","1,216.34","1,216.34","2,153,000"
20-Apr-20,"1,271.00","1,281.60","1,261.37","1,266.61","1,266.61","1,695,500"
17-Apr-20,"1,284.85","1,294.43","1,271.23","1,283.25","1,283.25","1,949,000"
16-Apr-20,"1,274.10","1,279.00","1,242.62","1,263.47","1,263.47","2,518,100"
15-Apr-20,"1,245.61","1,280.46","1,240.40","1,262.47","1,262.47","1,671,700"
14-Apr-20,"1,245.09","1,282.07","1,236.93","1,269.23","1,269.23","2,470,400"
13-Apr-20,"1,209.18","1,220.51","1,187.60","1,217.56","1,217.56","1,739,800"
9-Apr-20,"1,224.08","1,225.57","1,196.73","1,211.45","1,211.45","2,175,400"
8-Apr-20,"1,206.50","1,219.07","1,188.16","1,210.28","1,210.28","1,975,100"
7-Apr-20,"1,221.00","1,225.00","1,182.23","1,186.51","1,186.51","2,387,300"
6-Apr-20,"1,138.00","1,194.66","1,130.94","1,186.92","1,186.92","2,664,700"
3-Apr-20,"1,119.02","1,123.54","1,079.81","1,097.88","1,097.88","2,313,400"
2-Apr-20,"1,098.26","1,126.86","1,096.40","1,120.84","1,120.84","1,964,900"
1-Apr-20,"1,122.00","1,129.69","1,097.45","1,105.62","1,105.62","2,344,200"
31-Mar-20,"1,147.30","1,175.31","1,138.14","1,162.81","1,162.81","2,486,400"
30-Mar-20,"1,125.04","1,151.63","1,096.48","1,146.82","1,146.82","2,574,100"
27-Mar-20,"1,125.67","1,150.67","1,105.91","1,110.71","1,110.71","3,208,500"
26-Mar-20,"1,111.80","1,169.97","1,093.53","1,161.75","1,161.75","3,571,700"
25-Mar-20,"1,126.47","1,148.90","1,086.01","1,102.49","1,102.49","4,081,500"
24-Mar-20,"1,103.77","1,135.00","1,090.62","1,134.46","1,134.46","3,344,500"
23-Mar-20,"1,061.32","1,071.32","1,013.54","1,056.62","1,056.62","4,044,100"
