Date,Open,High,Low,Close,Adj Close,Volume
31-Jul-20,"1,515.00","1,517.05","1,420.98","1,430.76","1,430.76","12,247,000"
30-Jul-20,"1,488.00","1,513.24","1,471.00","1,487.49","1,487.49","7,621,000"
29-Jul-20,"1,501.00","1,534.81","1,487.00","1,499.11","1,499.11","9,426,900"
28-Jul-20,"1,504.00","1,564.70","1,474.42","1,476.49","1,476.49","15,808,700"
27-Jul-20,"1,435.00","1,547.94","1,413.00","1,539.60","1,539.60","16,048,700"
24-Jul-20,"1,416.01","1,465.00","1,366.54","1,417.00","1,417.00","19,396,600"
23-Jul-20,"1,678.95","1,689.00","1,480.77","1,513.07","1,513.07","24,328,500"
22-Jul-20,"1,599.00","1,626.42","1,562.00","1,592.33","1,592.33","14,161,100"
21-Jul-20,"1,639.93","1,675.00","1,558.00","1,568.36","1,568.36","16,157,300"
20-Jul-20,"1,519.01","1,650.00","1,488.00","1,643.00","1,643.00","17,121,400"
17-Jul-20,"1,513.45","1,537.51","1,490.00","1,500.84","1,500.84","9,330,000"
16-Jul-20,"1,477.16","1,531.71","1,466.00","1,500.64","1,500.64","14,300,800"
15-Jul-20,"1,543.00","1,550.00","1,457.00","1,546.01","1,546.01","16,367,800"
14-Jul-20,"1,556.00","1,590.00","1,431.00","1,516.80","1,516.80","23,418,100"
13-Jul-20,"1,659.00","1,794.99","1,471.11","1,497.06","1,497.06","38,985,400"
10-Jul-20,"1,396.00","1,548.92","1,376.01","1,544.65","1,544.65","23,337,600"
9-Jul-20,"1,396.99","1,408.56","1,351.28","1,394.28","1,394.28","11,717,600"
8-Jul-20,"1,405.00","1,417.26","1,311.34","1,365.88","1,365.88","16,311,300"
7-Jul-20,"1,405.01","1,429.50","1,336.71","1,389.86","1,389.86","21,489,700"
6-Jul-20,"1,276.69","1,377.79","1,266.04","1,371.58","1,371.58","20,569,900"
2-Jul-20,"1,221.48","1,228.00","1,185.60","1,208.66","1,208.66","17,250,100"
1-Jul-20,"1,083.00","1,135.33","1,080.50","1,119.63","1,119.63","13,326,900"
30-Jun-20,"1,006.50","1,087.69","1,003.73","1,079.81","1,079.81","16,918,500"
29-Jun-20,969.01,"1,010.00",948.52,"1,009.35","1,009.35","9,026,400"
26-Jun-20,994.78,995,954.87,959.74,959.74,"8,854,900"
25-Jun-20,954.27,985.98,937.15,985.98,985.98,"9,254,500"
24-Jun-20,994.11,"1,000.88",953.14,960.85,960.85,"10,959,600"
23-Jun-20,998.88,"1,012.00",994.01,"1,001.78","1,001.78","6,365,300"
22-Jun-20,999.95,"1,008.88",990.02,994.32,994.32,"6,362,400"
19-Jun-20,"1,012.78","1,015.97",991.34,"1,000.90","1,000.90","8,679,700"
18-Jun-20,"1,003.00","1,019.20",994.47,"1,003.96","1,003.96","9,751,900"
17-Jun-20,987.71,"1,005.00",982.57,991.79,991.79,"9,869,400"
16-Jun-20,"1,011.85","1,012.88",962.39,982.13,982.13,"14,051,100"
15-Jun-20,917.79,998.84,908.5,990.9,990.9,"15,697,200"
12-Jun-20,980,987.98,912.6,935.28,935.28,"16,730,200"
11-Jun-20,990.2,"1,018.96",972,972.84,972.84,"15,916,500"
10-Jun-20,991.88,"1,027.48",982.5,"1,025.05","1,025.05","18,563,400"
9-Jun-20,940.01,954.44,923.93,940.67,940.67,"11,388,200"
8-Jun-20,919,950,909.16,949.92,949.92,"14,174,700"
5-Jun-20,877.84,886.52,866.2,885.66,885.66,"7,811,900"
4-Jun-20,889.88,895.75,858.44,864.38,864.38,"8,887,700"
3-Jun-20,888.12,897.94,880.1,882.96,882.96,"7,949,500"
2-Jun-20,894.7,908.66,871,881.56,881.56,"13,565,600"
1-Jun-20,858,899,854.1,898.1,898.1,"14,939,500"
29-May-20,808.75,835,804.21,835,835,"11,812,500"
28-May-20,813.51,824.75,801.69,805.81,805.81,"7,255,600"
27-May-20,820.86,827.71,785,820.23,820.23,"11,549,500"
26-May-20,834.5,834.6,815.71,818.87,818.87,"8,089,700"
22-May-20,822.17,831.78,812,816.88,816.88,"9,987,500"
21-May-20,816,832.5,796,827.6,827.6,"12,254,600"
20-May-20,820.5,826,811.8,815.56,815.56,"7,309,300"
19-May-20,815.17,822.07,806.08,808.01,808.01,"9,636,500"
18-May-20,827.78,834.72,803.88,813.63,813.63,"11,698,100"
15-May-20,790.35,805.05,786.55,799.17,799.17,"10,518,400"
14-May-20,780,803.36,764,803.33,803.33,"13,682,200"
13-May-20,820.83,826,763.3,790.96,790.96,"19,065,500"
12-May-20,827,843.29,808,809.41,809.41,"15,906,900"
11-May-20,790.51,824,785,811.29,811.29,"16,471,100"
8-May-20,793.77,824,787.01,819.42,819.42,"16,130,100"
7-May-20,777.21,796.4,772.35,780.04,780.04,"11,527,700"
6-May-20,776.5,789.8,761.11,782.58,782.58,"11,123,200"
5-May-20,789.79,798.92,762.18,768.21,768.21,"16,991,700"
4-May-20,701,762,698,761.19,761.19,"19,237,100"
1-May-20,755,772.77,683.04,701.32,701.32,"32,531,800"
30-Apr-20,855.19,869.82,763.5,781.88,781.88,"28,400,100"
29-Apr-20,790.17,803.2,783.16,800.51,800.51,"16,216,000"
28-Apr-20,795.64,805,756.69,769.12,769.12,"15,222,000"
27-Apr-20,737.61,799.49,735,798.75,798.75,"20,681,400"
24-Apr-20,710.81,730.73,698.18,725.15,725.15,"13,237,600"
23-Apr-20,727.6,734,703.13,705.63,705.63,"13,236,700"
22-Apr-20,703.98,734,688.71,732.11,732.11,"14,224,800"
21-Apr-20,730.12,753.33,673.79,686.72,686.72,"20,209,100"
20-Apr-20,732.7,765.57,712.21,746.36,746.36,"14,746,600"
17-Apr-20,772.28,774.95,747.66,753.89,753.89,"13,128,200"
16-Apr-20,716.94,759.45,706.72,745.21,745.21,"20,657,900"
15-Apr-20,742,753.13,710,729.83,729.83,"23,577,000"
14-Apr-20,698.97,741.88,692.43,709.89,709.89,"30,576,500"
13-Apr-20,590.16,652,580.53,650.95,650.95,"22,475,400"
9-Apr-20,562.09,575.18,557.11,573,573,"13,650,000"
